season,match_id,match_date,kick_off,stage,stage_display,is_knockout,team_a,team_b,team_a_group,team_b_group,team_a_manager,team_b_manager,team_a_country,team_b_country,team_a_score,team_b_score,scoreline_90m,target_result_90m,stadium,host_country,referee
2018,7525,2018-06-14,15:00:00.000,group,Group Stage,0,Russia,Saudi Arabia,,,Stanislav Cherchesov,Pizzi,Russia,Saudi Arabia,5,0,5-0,0,Stadion Luzhniki,Russia,Néstor Fabián Pitana
2018,7578,2018-06-15,12:00:00.000,group,Group Stage,0,Egypt,Uruguay,,A,Héctor Cúper,Óscar Tabárez,Egypt,Uruguay,0,1,0-1,2,Ekaterinburg Arena,Russia,Björn Kuipers
2018,7577,2018-06-15,15:00:00.000,group,Group Stage,0,Morocco,Iran,,,Hervé Renard,Carlos Queiroz,Morocco,"Iran, Islamic Republic of",0,1,0-1,2,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Cüneyt Çakιr
2018,7576,2018-06-15,18:00:00.000,group,Group Stage,0,Portugal,Spain,,,Fernando Santos,Fernando Hierro,Portugal,Spain,3,3,3-3,1,Olimpiyskiy Stadion Fisht,Russia,Gianluca Rocchi
2018,7530,2018-06-16,10:00:00.000,group,Group Stage,0,France,Australia,,,Didier Deschamps,Lambertus van Marwijk,France,Australia,2,1,2-1,0,Ak Bars Arena,Russia,Andrés Cunha
2018,7531,2018-06-16,13:00:00.000,group,Group Stage,0,Argentina,Iceland,,,Jorge Sampaoli,Heimir Hallgrímsson,Argentina,Iceland,1,1,1-1,1,Otkritie Bank Arena,Russia,Szymon Marciniak
2018,7532,2018-06-16,16:00:00.000,group,Group Stage,0,Peru,Denmark,,,Ricardo Gareca,Åge Hareide,Peru,Denmark,0,1,0-1,2,Mordovia Arena,Russia,Bakary Papa Gassama
2018,7529,2018-06-16,19:00:00.000,group,Group Stage,0,Croatia,Nigeria,,,Zlatko Dalić,Gernot Rohr,Croatia,Nigeria,2,0,2-0,0,Rostec Arena,Russia,Sandro Ricci
2018,7535,2018-06-17,12:00:00.000,group,Group Stage,0,Costa Rica,Serbia,,,Óscar Ramírez,Mladen Krstajić,Costa Rica,Serbia,0,1,0-1,2,Solidarnost Arena,Russia,Malang Diedhiou
2018,7534,2018-06-17,15:00:00.000,group,Group Stage,0,Germany,Mexico,,,Joachim Löw,Juan Carlos Osorio,Germany,Mexico,0,1,0-1,2,Stadion Luzhniki,Russia,Alireza Faghani
2018,7533,2018-06-17,18:00:00.000,group,Group Stage,0,Brazil,Switzerland,E,,Tite,Vladimir Petković,Brazil,Switzerland,1,1,1-1,1,Rostov Arena,Russia,César Arturo Ramos Palazuelos
2018,7538,2018-06-18,12:00:00.000,group,Group Stage,0,Sweden,South Korea,,F,Jan Olof Andersson,Shin Tae-Yong,Sweden,Korea (South),1,0,1-0,0,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Joel Antonio Aguilar Chicas
2018,7536,2018-06-18,15:00:00.000,group,Group Stage,0,Belgium,Panama,,,Roberto Martínez,Hernán Darío Gómez,Belgium,Panama,3,0,3-0,0,Olimpiyskiy Stadion Fisht,Russia,Janny Sikazwe
2018,7537,2018-06-18,18:00:00.000,group,Group Stage,0,Tunisia,England,,,Nabil Maâloul,Gareth Southgate,Tunisia,England,1,2,1-2,2,Volgograd Arena,Russia,Wilmar Alexander Roldán Pérez
2018,7541,2018-06-19,12:00:00.000,group,Group Stage,0,Colombia,Japan,,,José Pékerman,Akira Nishino,Colombia,Japan,1,2,1-2,2,Mordovia Arena,Russia,Damir Skomina
2018,7539,2018-06-19,15:00:00.000,group,Group Stage,0,Poland,Senegal,,,Adam Nawałka,Aliou Cissé,Poland,Senegal,1,2,1-2,2,Otkritie Bank Arena,Russia,Nawaf Abdulla Ghayyath Shukralla
2018,7540,2018-06-19,18:00:00.000,group,Group Stage,0,Russia,Egypt,,,Stanislav Cherchesov,Héctor Cúper,Russia,Egypt,3,1,3-1,0,Saint-Petersburg Stadium ( Gazprom Arena ),Russia,Enrique Cáceres
2018,7542,2018-06-20,12:00:00.000,group,Group Stage,0,Portugal,Morocco,,,Fernando Santos,Hervé Renard,Portugal,Morocco,1,0,1-0,0,Stadion Luzhniki,Russia,Mark Geiger
2018,7544,2018-06-20,15:00:00.000,group,Group Stage,0,Uruguay,Saudi Arabia,A,,Óscar Tabárez,Pizzi,Uruguay,Saudi Arabia,1,0,1-0,0,Rostov Arena,Russia,Clément Turpin
2018,7543,2018-06-20,18:00:00.000,group,Group Stage,0,Iran,Spain,,,Carlos Queiroz,Fernando Hierro,"Iran, Islamic Republic of",Spain,0,1,0-1,2,Ak Bars Arena,Russia,Andrés Cunha
2018,7547,2018-06-21,12:00:00.000,group,Group Stage,0,Denmark,Australia,,,Åge Hareide,Lambertus van Marwijk,Denmark,Australia,1,1,1-1,1,Solidarnost Arena,Russia,Antonio Miguel Mateu Lahoz
2018,7546,2018-06-21,15:00:00.000,group,Group Stage,0,France,Peru,,,Didier Deschamps,Ricardo Gareca,France,Peru,1,0,1-0,0,Ekaterinburg Arena,Russia,Mohamed Abdulla Hassan Mohd
2018,7545,2018-06-21,18:00:00.000,group,Group Stage,0,Argentina,Croatia,,,Jorge Sampaoli,Zlatko Dalić,Argentina,Croatia,0,3,0-3,2,Stadion Nizhny Novgorod (Nizhniy Novgorod),Russia,Ravshan Irmatov
