match_id,match_date,tournament,stage,is_knockout,team_a,team_b,team_a_squad_value,team_b_squad_value,squad_value_diff,target_result_90m,team_a_elo,team_b_elo,elo_diff,team_a_fifa_rank,team_b_fifa_rank,fifa_rank_diff,team_a_last5_points,team_b_last5_points,last5_points_diff,team_a_last5_goals_for,team_b_last5_goals_for,goals_for_diff,team_a_last5_goals_against,team_b_last5_goals_against,goals_against_diff,team_a_last5_goal_diff,team_b_last5_goal_diff,last5_goal_diff_gap,team_a_rest_days,team_b_rest_days,rest_days_diff,confederation_a,confederation_b,confederation_pair,same_confederation_flag,team_a_top11_avg_rating_last5,team_b_top11_avg_rating_last5,top11_rating_diff,team_a_top11_avg_minutes_last5,team_b_top11_avg_minutes_last5,top11_minutes_diff,team_a_attack_core_form_score,team_b_attack_core_form_score,attack_core_form_diff,team_a_gk_form_score,team_b_gk_form_score,gk_form_diff,team_a_recent_starts_stability,team_b_recent_starts_stability,starts_stability_diff,team_a_key_absence_score,team_b_key_absence_score,key_absence_diff,team_a_avg_xg_last5,team_b_avg_xg_last5,xg_diff,team_a_avg_xga_last5,team_b_avg_xga_last5,xga_diff
7525,2018-06-14,FIFA World Cup,group,0,Russia,Saudi Arabia,91100000.0,,,0,1731.52,1687.63,43.89,70,67,3,2,6,-4,5.0,6.0,-1.0,11.0,7.0,4.0,-6.0,-1.0,-5.0,9.0,6.0,3.0,UEFA,AFC,UEFA_vs_AFC,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7578,2018-06-15,FIFA World Cup,group,0,Egypt,Uruguay,171150000.0,321000000.0,-149850000.0,2,1744.11,1922.31,-178.2,45,14,31,2,10,-8,2.0,7.0,-5.0,7.0,2.0,5.0,-5.0,5.0,-10.0,9.0,8.0,1.0,CAF,CONMEBOL,CAF_vs_CONMEBOL,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7577,2018-06-15,FIFA World Cup,group,0,Morocco,Iran,87150000.0,34000000.0,53150000.0,2,1809.82,1871.34,-61.53,41,37,4,13,9,4,9.0,5.0,4.0,3.0,4.0,-1.0,6.0,1.0,5.0,6.0,7.0,-1.0,CAF,AFC,CAF_vs_AFC,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7576,2018-06-15,FIFA World Cup,group,0,Portugal,Spain,479500000.0,814000000.0,-334500000.0,1,2000.97,2075.54,-74.56,4,10,-6,8,9,-1,7.0,12.0,-5.0,6.0,6.0,0.0,1.0,6.0,-5.0,8.0,6.0,2.0,UEFA,UEFA,UEFA_vs_UEFA,1.0,,,,,,,,,,,,,,,,,,,,,,,,
7530,2018-06-16,FIFA World Cup,group,0,France,Australia,1020500000.0,49500000.0,971000000.0,0,2023.27,1822.16,201.11,7,36,-29,10,10,0,11.0,10.0,1.0,6.0,6.0,0.0,5.0,4.0,1.0,7.0,7.0,0.0,UEFA,AFC,UEFA_vs_AFC,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7531,2018-06-16,FIFA World Cup,group,0,Argentina,Iceland,662500000.0,45100000.0,617400000.0,1,2026.18,1808.69,217.49,5,22,-17,9,4,5,10.0,9.0,1.0,10.0,12.0,-2.0,0.0,-3.0,3.0,18.0,9.0,9.0,CONMEBOL,UEFA,CONMEBOL_vs_UEFA,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7532,2018-06-16,FIFA World Cup,group,0,Peru,Denmark,26450000.0,245800000.0,-219350000.0,2,1988.72,1872.03,116.69,11,12,-1,13,8,5,10.0,3.0,7.0,1.0,1.0,0.0,9.0,2.0,7.0,7.0,7.0,0.0,CONMEBOL,UEFA,CONMEBOL_vs_UEFA,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7529,2018-06-16,FIFA World Cup,group,0,Croatia,Nigeria,356500000.0,114650000.0,241850000.0,0,1890.7,1736.01,154.69,20,48,-28,7,4,3,3.0,3.0,0.0,5.0,6.0,-1.0,-2.0,-3.0,1.0,8.0,10.0,-2.0,UEFA,CAF,UEFA_vs_CAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7535,2018-06-17,FIFA World Cup,group,0,Costa Rica,Serbia,34275000.0,181500000.0,-147225000.0,2,1840.04,1800.44,39.6,23,34,-11,6,7,-1,5.0,9.0,-4.0,7.0,5.0,2.0,-2.0,4.0,-6.0,6.0,8.0,-2.0,CONCACAF,UEFA,CONCACAF_vs_UEFA,0.0,,,,,,,,,,,,,,,,,,,,,,,,
7534,2018-06-17,FIFA World Cup,group,0,Germany,Mexico,883000000.0,125300000.0,757700000.0,2,2100.82,1921.43,179.39,1,15,-14,5,7,-2,6.0,4.0,2.0,7.0,3.0,4.0,-1.0,1.0,-2.0,9.0,8.0,1.0,UEFA,CONCACAF,UEFA_vs_CONCACAF,0.0,,,,,,,,,,,,,,,,,,,,,,,,
