year,team,player_name,birth_date,player_id,match_status,value_date,value
2018,Egypt,Essam El Hadary,1973-01-15,34385,matched,2018-05-31,100000.0
2018,Egypt,Ali Gabr,1989-01-01,,no_birthdate_name_match,,
2018,Egypt,Ahmed Elmohamady,1987-09-09,,no_birthdate_name_match,,
2018,Egypt,Omar Gaber,1992-01-30,,no_birthdate_name_match,,
2018,Egypt,Sam Morsy,1991-09-10,123551,matched,2018-06-05,750000.0
2018,Egypt,Ahmed Hegazi,1991-01-25,,no_birthdate_name_match,,
2018,Egypt,Ahmed Fathy,1984-11-10,,no_birthdate_name_match,,
2018,Egypt,Tarek Hamed,1988-10-24,,no_birthdate_name_match,,
2018,Egypt,Marwan Mohsen,1989-02-26,149532,matched,2018-05-22,800000.0
2018,Egypt,Mohamed Salah,1992-06-15,148455,matched,2018-05-27,150000000.0
2018,Egypt,Kahraba,1994-04-13,,no_birthdate_name_match,,
2018,Egypt,Ayman Ashraf,1991-04-09,,no_birthdate_name_match,,
2018,Egypt,Mohamed Abdel Shafy,1985-07-01,,no_birthdate_name_match,,
2018,Egypt,Ramadan Sobhi,1997-01-23,312017,matched,2018-05-27,7000000.0
2018,Egypt,Mahmoud Hamdy,1995-06-01,,no_birthdate_name_match,,
2018,Egypt,Sherif Ekramy,1983-07-10,,no_birthdate_name_match,,
2018,Egypt,Mohamed Elneny,1992-07-11,160438,matched,2018-05-27,10000000.0
2018,Egypt,Shikabala,1986-03-05,,no_birthdate_name_match,,
2018,Egypt,Abdallah El Said,1985-07-13,,no_birthdate_name_match,,
2018,Egypt,Saad Samir,1989-04-01,,no_birthdate_name_match,,
2018,Egypt,Trézéguet,1994-10-01,,no_birthdate_name_match,,
2018,Egypt,Amr Warda,1993-09-17,237641,matched,2018-05-21,2500000.0
2018,Egypt,Mohamed El Shenawy,1988-12-18,,no_birthdate_name_match,,
2018,Russia,Igor Akinfeev,1986-04-08,15570,matched,2018-06-05,10000000.0
2018,Russia,Mário Fernandes,1990-09-19,102740,matched,2018-06-05,16000000.0
2018,Russia,Ilya Kutepov,1993-07-29,129096,matched,2018-06-05,3400000.0
2018,Russia,Sergei Ignashevich,1979-07-14,,no_birthdate_name_match,,
2018,Russia,Andrei Semyonov,1989-03-24,,no_birthdate_name_match,,
2018,Russia,Denis Cheryshev,1990-12-26,98322,matched,2018-05-29,3000000.0
2018,Russia,Daler Kuzyayev,1993-01-15,,no_birthdate_name_match,,
2018,Russia,Yury Gazinsky,1989-07-20,,no_birthdate_name_match,,
2018,Russia,Alan Dzagoev,1990-06-17,69683,matched,2018-06-05,15000000.0
2018,Russia,Fyodor Smolov,1990-02-09,,no_birthdate_name_match,,
2018,Russia,Roman Zobnin,1994-02-11,166277,matched,2018-06-05,8000000.0
2018,Russia,Andrey Lunyov,1991-11-13,,no_birthdate_name_match,,
2018,Russia,Fyodor Kudryashov,1987-04-05,,no_birthdate_name_match,,
2018,Russia,Vladimir Granat,1987-05-22,31068,matched,2018-06-05,2000000.0
2018,Russia,Aleksei Miranchuk,1995-10-17,,no_birthdate_name_match,,
2018,Russia,Anton Miranchuk,1995-10-17,255451,matched,2018-06-05,8000000.0
2018,Russia,Aleksandr Golovin,1996-05-30,263918,matched,2018-06-05,18000000.0
2018,Russia,Yuri Zhirkov,1983-08-20,,no_birthdate_name_match,,
2018,Russia,Aleksandr Samedov,1984-07-19,,no_birthdate_name_match,,
2018,Russia,Vladimir Gabulov,1983-10-19,24131,matched,2018-06-02,700000.0
2018,Russia,Aleksandr Yerokhin,1989-10-13,,no_birthdate_name_match,,
2018,Russia,Artem Dzyuba,1988-08-22,,no_birthdate_name_match,,
2018,Russia,Igor Smolnikov,1988-08-08,46635,matched,2018-06-05,7000000.0
2018,Saudi Arabia,Abdullah Al-Mayouf,1987-01-23,,no_birthdate_name_match,,
2018,Saudi Arabia,Mansoor Al-Harbi,1987-10-19,,no_birthdate_name_match,,
2018,Saudi Arabia,Osama Hawsawi,1984-03-31,,no_birthdate_name_match,,
2018,Saudi Arabia,Ali Al-Bulaihi,1989-11-21,,no_birthdate_name_match,,
2018,Saudi Arabia,Omar Hawsawi,1985-09-27,,no_birthdate_name_match,,
2018,Saudi Arabia,Mohammed Al-Breik,1992-09-15,,no_birthdate_name_match,,
2018,Saudi Arabia,Salman Al-Faraj,1989-08-01,,no_birthdate_name_match,,
2018,Saudi Arabia,Yahya Al-Shehri,1990-06-26,,no_birthdate_name_match,,
2018,Saudi Arabia,Hattan Bahebri,1992-07-16,,no_birthdate_name_match,,
2018,Saudi Arabia,Mohammad Al-Sahlawi,1987-01-10,,no_birthdate_name_match,,
2018,Saudi Arabia,Abdulmalek Al-Khaibri,1986-03-13,,no_birthdate_name_match,,
2018,Saudi Arabia,Mohamed Kanno,1994-09-22,,no_birthdate_name_match,,
2018,Saudi Arabia,Yasser Al-Shahrani,1992-05-25,,no_birthdate_name_match,,
2018,Saudi Arabia,Abdullah Otayf,1992-08-03,,no_birthdate_name_match,,
2018,Saudi Arabia,Abdullah Al-Khaibari,1996-08-16,,no_birthdate_name_match,,
2018,Saudi Arabia,Housain Al-Mogahwi,1988-03-24,,no_birthdate_name_match,,
2018,Saudi Arabia,Taisir Al-Jassim,1984-07-25,,no_birthdate_name_match,,
2018,Saudi Arabia,Salem Al-Dawsari,1991-08-19,,no_birthdate_name_match,,
2018,Saudi Arabia,Fahad Al-Muwallad,1994-09-14,,no_birthdate_name_match,,
2018,Saudi Arabia,Muhannad Assiri,1986-10-14,,no_birthdate_name_match,,
2018,Saudi Arabia,Yasser Al-Mosailem,1984-02-27,,no_birthdate_name_match,,
2018,Saudi Arabia,Mohammed Al-Owais,1991-10-10,,no_birthdate_name_match,,
2018,Saudi Arabia,Motaz Hawsawi,1992-02-17,,no_birthdate_name_match,,
2018,Uruguay,Fernando Muslera,1986-06-16,58088,matched,2018-05-28,6000000.0
2018,Uruguay,José Giménez,1995-01-20,,no_birthdate_name_match,,
2018,Uruguay,Diego Godín,1986-02-16,54928,matched,2018-05-29,35000000.0
2018,Uruguay,Guillermo Varela,1993-03-24,188862,matched,2018-02-04,2000000.0
2018,Uruguay,Carlos Sánchez,1984-12-02,74373,matched,2018-04-09,1500000.0
2018,Uruguay,Rodrigo Bentancur,1997-06-25,354362,matched,2018-06-06,15000000.0
2018,Uruguay,Cristian Rodríguez,1985-09-30,33448,matched,2018-02-04,500000.0
2018,Uruguay,Nahitan Nández,1995-12-28,315063,matched,2018-05-07,6000000.0
2018,Uruguay,Luis Suárez,1987-01-24,44352,matched,2018-05-29,70000000.0
2018,Uruguay,Giorgian de Arrascaeta,1994-06-01,248410,matched,2018-05-22,9000000.0
2018,Uruguay,Cristhian Stuani,1986-10-12,59323,matched,2018-05-29,7500000.0
2018,Uruguay,Martín Campaña,1989-05-29,,no_birthdate_name_match,,
2018,Uruguay,Gastón Silva,1994-03-05,189452,matched,2018-05-07,2500000.0
2018,Uruguay,Lucas Torreira,1996-02-11,318077,matched,2018-06-06,30000000.0
2018,Uruguay,Matías Vecino,1991-08-24,143812,matched,2018-06-06,21000000.0
2018,Uruguay,Maxi Pereira,1984-06-08,57834,matched,2018-06-12,1000000.0
2018,Uruguay,Diego Laxalt,1993-02-07,230552,matched,2018-06-06,13000000.0
2018,Uruguay,Maxi Gómez,1996-08-14,396894,matched,2018-05-29,25000000.0
2018,Uruguay,Sebastián Coates,1990-10-07,102427,matched,2018-06-12,10000000.0
2018,Uruguay,Jonathan Urretaviscaya,1990-03-19,74621,matched,2018-04-09,3500000.0
2018,Uruguay,Edinson Cavani,1987-02-14,48280,matched,2018-06-03,60000000.0
2018,Uruguay,Martín Cáceres,1987-04-07,54935,matched,2018-06-06,2500000.0
2018,Uruguay,Martín Silva,1983-03-25,,no_birthdate_name_match,,
2018,Iran,Alireza Beiranvand,1992-09-21,229081,matched,2018-06-08,1200000.0
2018,Iran,Mehdi Torabi,1994-09-10,283833,matched,2018-06-08,1000000.0
2018,Iran,Ehsan Hajsafi,1990-02-25,77547,matched,2018-05-21,1500000.0
2018,Iran,Rouzbeh Cheshmi,1993-07-24,,no_birthdate_name_match,,
2018,Iran,Milad Mohammadi,1993-09-29,333355,matched,2018-06-05,2800000.0
2018,Iran,Saeid Ezatolahi,1996-10-01,,no_birthdate_name_match,,
2018,Iran,Masoud Shojaei,1984-06-09,26574,matched,2018-05-21,700000.0
2018,Iran,Morteza Pouraliganji,1992-04-19,,no_birthdate_name_match,,
2018,Iran,Omid Ebrahimi,1987-09-16,,no_birthdate_name_match,,
2018,Iran,Karim Ansarifard,1990-04-03,,no_birthdate_name_match,,
2018,Iran,Vahid Amiri,1988-04-02,,no_birthdate_name_match,,
2018,Iran,Mohammad Rashid Mazaheri,1989-05-18,,no_birthdate_name_match,,
2018,Iran,Mohammad Reza Khanzadeh,1991-05-11,,no_birthdate_name_match,,
2018,Iran,Saman Ghoddos,1993-09-06,204294,matched,2017-11-16,1600000.0
2018,Iran,Pejman Montazeri,1983-09-06,,no_birthdate_name_match,,
2018,Iran,Reza Ghoochannejhad,1987-09-20,39522,matched,2018-06-11,1500000.0
2018,Iran,Mehdi Taremi,1992-07-18,307058,matched,2018-05-08,1700000.0
2018,Iran,Alireza Jahanbakhsh,1993-08-11,213268,matched,2018-06-11,12000000.0
2018,Iran,Majid Hosseini,1996-06-20,,no_birthdate_name_match,,
2018,Iran,Sardar Azmoun,1995-01-01,180337,matched,2018-06-05,9000000.0
2018,Iran,Ashkan Dejagah,1986-07-05,,no_birthdate_name_match,,
2018,Iran,Amir Abedzadeh,1993-04-26,218431,matched,2018-06-12,1000000.0
2018,Iran,Ramin Rezaeian,1990-03-21,,no_birthdate_name_match,,
2018,Morocco,Yassine Bounou,1991-04-05,207834,matched,2018-05-29,3000000.0
2018,Morocco,Achraf Hakimi,1998-11-04,398073,matched,2018-05-29,5000000.0
2018,Morocco,Hamza Mendyl,1997-10-21,447221,matched,2018-06-03,600000.0
2018,Morocco,Manuel da Costa,1986-05-06,37398,matched,2018-05-28,700000.0
2018,Morocco,Medhi Benatia,1987-04-17,,no_birthdate_name_match,,
2018,Morocco,Romain Saïss,1990-03-26,204198,matched,2018-06-05,6000000.0
2018,Morocco,Hakim Ziyech,1993-03-19,217111,matched,2018-06-11,25000000.0
2018,Morocco,Karim El Ahmadi,1985-01-27,25523,matched,2018-06-11,3000000.0
2018,Morocco,Ayoub El Kaabi,1993-06-25,,no_birthdate_name_match,,
2018,Morocco,Younès Belhanda,1990-02-25,,no_birthdate_name_match,,
2018,Morocco,Fayçal Fajr,1988-08-01,,no_birthdate_name_match,,
2018,Morocco,Munir Mohamedi,1989-05-10,,no_birthdate_name_match,,
2018,Morocco,Khalid Boutaïb,1987-04-24,231941,matched,2018-05-28,1750000.0
2018,Morocco,Mbark Boussoufa,1984-08-15,,no_birthdate_name_match,,
2018,Morocco,Youssef Aït Bennasser,1996-07-07,265569,matched,2018-06-03,7000000.0
2018,Morocco,Nordin Amrabat,1987-03-31,55619,matched,2018-05-29,3000000.0
2018,Morocco,Nabil Dirar,1986-02-25,,no_birthdate_name_match,,
2018,Morocco,Amine Harit,1997-06-18,372711,matched,2018-06-04,25000000.0
2018,Morocco,Youssef En-Nesyri,1997-06-01,433049,matched,2018-05-29,1800000.0
