year,team,squad_size,matched_players,valued_players,squad_value_eur,avg_player_value_eur,coverage_ratio
2018,Argentina,23,20,20,662500000.0,33125000.0,0.8695652173913043
2018,Australia,23,22,22,49500000.0,2250000.0,0.9565217391304348
2018,Belgium,23,23,23,754000000.0,32782608.695652176,1.0
2018,Brazil,23,23,23,981000000.0,42652173.91304348,1.0
2018,Colombia,23,16,16,221500000.0,13843750.0,0.6956521739130435
2018,Costa Rica,23,11,11,34275000.0,3115909.090909091,0.4782608695652174
2018,Croatia,23,21,21,356500000.0,16976190.476190478,0.9130434782608695
2018,Denmark,23,20,20,245800000.0,12290000.0,0.8695652173913043
2018,Egypt,23,7,7,171150000.0,24450000.0,0.30434782608695654
2018,England,23,23,23,874000000.0,38000000.0,1.0
2018,France,23,22,22,1020500000.0,46386363.63636363,0.9565217391304348
2018,Germany,23,23,23,883000000.0,38391304.347826086,1.0
2018,Iceland,23,19,19,45100000.0,2373684.210526316,0.8260869565217391
2018,Iran,23,11,11,34000000.0,3090909.090909091,0.4782608695652174
2018,Japan,23,22,22,73150000.0,3325000.0,0.9565217391304348
2018,Mexico,23,19,19,125300000.0,6594736.842105263,0.8260869565217391
2018,Morocco,23,14,14,87150000.0,6225000.0,0.6086956521739131
2018,Nigeria,23,16,16,114650000.0,7165625.0,0.6956521739130435
2018,Panama,23,8,8,3375000.0,421875.0,0.34782608695652173
2018,Peru,23,14,14,26450000.0,1889285.7142857143,0.6086956521739131
2018,Poland,23,20,20,268250000.0,13412500.0,0.8695652173913043
2018,Portugal,23,22,22,479500000.0,21795454.545454547,0.9565217391304348
2018,Russia,23,11,11,91100000.0,8281818.181818182,0.4782608695652174
2018,Saudi Arabia,23,0,0,,,0.0
2018,Senegal,23,15,15,267250000.0,17816666.666666668,0.6521739130434783
2018,Serbia,23,18,18,181500000.0,10083333.333333334,0.782608695652174
2018,South Korea,23,16,16,80875000.0,5054687.5,0.6956521739130435
2018,Spain,23,19,19,814000000.0,42842105.2631579,0.8260869565217391
2018,Sweden,23,18,18,102750000.0,5708333.333333333,0.782608695652174
2018,Switzerland,23,23,23,218100000.0,9482608.695652174,1.0
2018,Tunisia,23,10,10,38300000.0,3830000.0,0.43478260869565216
2018,Uruguay,23,20,20,321000000.0,16050000.0,0.8695652173913043
2022,Argentina,26,25,25,642000000.0,25680000.0,0.9615384615384616
2022,Australia,26,24,24,35800000.0,1491666.6666666667,0.9230769230769231
2022,Belgium,26,25,25,555200000.0,22208000.0,0.9615384615384616
2022,Brazil,26,26,26,1142000000.0,43923076.92307692,1.0
2022,Cameroon,26,20,20,141700000.0,7085000.0,0.7692307692307693
2022,Canada,26,24,24,184700000.0,7695833.333333333,0.9230769230769231
2022,Costa Rica,26,13,13,13875000.0,1067307.6923076923,0.5
2022,Croatia,26,26,26,377000000.0,14500000.0,1.0
2022,Denmark,26,24,24,344500000.0,14354166.666666666,0.9230769230769231
2022,Ecuador,26,20,20,140500000.0,7025000.0,0.7692307692307693
2022,England,26,26,26,1260000000.0,48461538.461538464,1.0
2022,France,26,25,25,977500000.0,39100000.0,0.9615384615384616
2022,Germany,26,26,26,885500000.0,34057692.307692304,1.0
2022,Ghana,26,22,22,206700000.0,9395454.545454545,0.8461538461538461
2022,Iran,25,11,11,45800000.0,4163636.3636363638,0.44
2022,Japan,26,22,22,149700000.0,6804545.454545454,0.8461538461538461
2022,Mexico,26,25,25,170100000.0,6804000.0,0.9615384615384616
2022,Morocco,26,21,21,228700000.0,10890476.19047619,0.8076923076923077
2022,Netherlands,26,26,26,587250000.0,22586538.46153846,1.0
2022,Poland,26,24,24,245100000.0,10212500.0,0.9230769230769231
2022,Portugal,26,26,26,937000000.0,36038461.538461536,1.0
2022,Qatar,26,11,11,7350000.0,668181.8181818182,0.4230769230769231
2022,Saudi Arabia,26,1,1,1700000.0,1700000.0,0.038461538461538464
2022,Senegal,26,25,25,228000000.0,9120000.0,0.9615384615384616
2022,Serbia,26,22,22,284000000.0,12909090.909090908,0.8461538461538461
2022,South Korea,26,20,20,157000000.0,7850000.0,0.7692307692307693
2022,Spain,26,25,25,859000000.0,34360000.0,0.9615384615384616
2022,Switzerland,26,25,25,276000000.0,11040000.0,0.9615384615384616
2022,Tunisia,26,13,13,42100000.0,3238461.5384615385,0.5
2022,United States,26,26,26,277400000.0,10669230.76923077,1.0
2022,Uruguay,26,24,24,396700000.0,16529166.666666666,0.9230769230769231
2022,Wales,26,25,25,159550000.0,6382000.0,0.9615384615384616
