preset,strength_bucket,evaluated_matches,accuracy,log_loss,brier
all_signals,close,16,0.375,2.2169607610428015,0.9527280788090124
all_signals,lopsided,16,0.5625,2.018842944627808,0.7055160212447694
all_signals,medium,32,0.5,1.4835789773800665,0.7011028930736845
base_form,close,16,0.5,2.168694057109116,0.8707286336630198
base_form,lopsided,16,0.5,1.5635256862007272,0.6457476287377573
base_form,medium,32,0.4375,1.713855179948995,0.7899679512967828
player_state,close,16,0.4375,2.0915136960517464,0.893314470717281
player_state,lopsided,16,0.5625,1.6086320625634576,0.6356051934090423
player_state,medium,32,0.375,1.7233042803708418,0.7943086554024755
player_state_squad_value,close,16,0.3125,2.0646078416827227,0.9676499211759553
player_state_squad_value,lopsided,16,0.5,1.7790584452756202,0.7608429341107729
player_state_squad_value,medium,32,0.5,1.4112299820797287,0.6641305734443945
player_state_squad_value_xg,close,16,0.375,2.1054234458679226,0.9645529648195947
player_state_squad_value_xg,lopsided,16,0.4375,2.047656317106199,0.8193806607534345
player_state_squad_value_xg,medium,32,0.5,1.3673677504254962,0.6646268610125616
player_state_xg,close,16,0.4375,2.1292667057741186,0.9114744984019161
player_state_xg,lopsided,16,0.5,1.8486961810812563,0.6757061842631547
player_state_xg,medium,32,0.375,1.7247015085856574,0.7861325628415121
